Column1;Column2;Column3
Fathahillah Teriza;4 years ago;Please come on a weekday and low season.. You will benefit from the lack of patrons, which means less crowded and more time for you to enjoy the awesome collection they have... Another tip, have a bite(preferably lunch) at the zoo's hotel then you can watch lions and leopards in their respective crib
Josephine Nur;4 years ago;Recommend eco green park in the morning then to the secret batu zoo. So worth your time. Place is super clean n comfy for children
Shelvy Chandra;10 months ago;Great place to bring young kids. Many animal and fun activities.
Gareth Steed;6 years ago;Great place, especially for children. Rent the electric scooter. It’s a little pricey (relative to local costs) but saves on the legwork. Some amazing animals to see and a good place to interact with some of them. The whole area (several parks) is dedicated to conservation and education. A valuable lesson.
Setiyo Nugroho;4 years ago;A well maintained and organized Zoo. Really recommended for kids. A lot of photo spot and benches to take a break
Ancella Sudrajat;a year ago;Always happy visiting this place, wonderful time herr, all animal are well Fed and well kept.
Ninda Aninditya;4 years ago;Great experience to have your family / couple holiday spent here. This place is a “must go” if you ever stay in Malang.
Anton Agung;a year ago;Very educative place, highly recommended for students and family
Octafiyenie Mattahari;6 years ago;Must visit place in malang. So much fun! And children can learn many things about animal
Amalia Susanto;6 years ago;This place is great for children. There are various kind of animal but the animal inside is kind of lack of food. Their bodies are so skinny.
Puji Daraluta;10 months ago;Having so much fun spent my long holiday in here 🤗 …
Mirchan;4 years ago;This is my third time in here, good family place to hang out and if you loves animal, you'll loved in here just like I do. There are 3 main place, Batu secret zoo, Eco park, and museum Satwa. If you want to explore all of these make sure you have enough time.
Marcello Gabrielle;10 months ago;Loved it! There are a bunch of interesting animals (some of them that I never saw), fun rides, and fun activities. You can learn a bunch of things here, there quizzes, simulations (earthquake and storm), and many fun rides such as  roller coasters, tea cups, trains, and etc. Many good foods too.
Alven R;4 years ago;The animal are well-kept. Clean aisley. Aside from normal odor from some animal. Food a bit pricey. But you could bring your own drink here, not food thou. Great experience and view. THis is a long experience and walking. so you sould wear a really comfortable footwear.
karman fiqie;4 years ago;All animal around the world, especially Africa. U can spend more than one day to explore this place (14hectare), there are also many playground
Andaru Mahameru;5 years ago;Good place for everybody who wants to refresh your mind. This place is for everyone, no matter what you are child or adult, you can enjoy this place with cold weather.
BendyBoye;5 years ago;Love it. So much different from the other zoo. Salute for the architect for the design of every animal cage here. Besides that the animal collection also very unique, never found in other zoo. Not only animal, they also provide theme park, …
Aurelia P Widodo;2 years ago;Great memorable place for enjoying family time and also educating kids to widen their knowledge about everything, especially animals. Jatim Park 2 also serve the package ticket to visit eco green park too.
AQW andrew;2 years ago;Best zoo in indonesia, every attraction is free, recomended
Nicolas Setiono;3 years ago;"this is one of the most visited place when you're in malang

the place is huge and had hotel inside it called as ""Pohon Inn"" …"
Fajar va;9 months ago;Jawa Timur Park 2 provides an interactive learning experience for visitors. It features various thematic areas, such as the Science Center and the Techno Park, where you can engage in hands-on activities and experiments. These attractions …
Andry Harmony;5 months ago;Quite difficult journey for elder who wants to share joy and happiness with family because of the route especially in rainy season.
My life is an Adventure;6 years ago;Very good place to visit...very recommended...they hav a good zoo with exotic collections...Jatim park 2 divided by 3 sectors..museum...secret zoo...ecogreen park..they all r best
Yulia Dwi Handayani;4 years ago;great place for kids & family. It takes a whole day to explore everything here
Chendy Christian;2 years ago;Beyond what i've expected, i think if you visit Batu, then you should visit this theme park.
Melia C;5 years ago;zoo trip can be considered an educational value in addition to books or classroom teaching.
Sony Gusman;6 years ago;I went to eco green park, good place to educate kids on animals, science and you can take photo and interact with the animals too
Dedy Mahendra (D.Mahendra);10 months ago;Good experience venue for family education.
estu G;6 years ago;Great experience! One ticket for all. Once you've in, all is free!! *except food and beverage
Xisuka83;6 years ago;Best zoo in town... Providing a good environment for animal living and entertainment , and many education and interaction for kids... Suitable for family leisure... Better go for a try...
yoggi anggoro;6 years ago;Nice recreational park. Have a zoo with many exotic collections. It's so wide you could walk your legs off wandering inside. The playground is nice too.
Agung Suryanto;4 years ago;huge, amazing alot of animal from life until they become bones you will became amazed
Pricilia Taarea;5 years ago;Best visit.... international standard, clean and so many animals..... with lots of information given. Best zoo in asia i must say....
Nindira;6 years ago;Love the zoo.  The animals are really looked after well..  They also have a vety good facility.
Fitri Hapsari;6 years ago;Jatim park 2, highly recommended to visit. Suggested to rent e-ride, it's a huge place and worth it to see all the route and place
Wisnu Rahhardi;a month ago;Very good condition and hospitality. Would definitely go again.
Majharul Islam;a year ago;Best zoo ever i visited. Highly recommend.
Linda Huang;5 years ago;A very nice place for recreation, education, value for money. Food was cheap. Clean. It has 1 route inside, make sure you got to see all places without getting lost. Would come back again for sure
Reynard Robson;4 years ago;cool place, big zoo, the animals they have are cool, you can also feed the lions, panther, tigers
Nizar;2 years ago;One of my best experience! (Best, if not for the rain lol) I'm feeling like a child again. 10/10 would come here again
Teguh Hartato;2 years ago;"best zoo, best experience for kid.
better visit on Monday-Friday, avoid weekend /public holiday"
Nadya Permata;4 years ago;"Really nice place to visit. It has so many kind of animals and provide usefull information about them. It also have some attraction and show.
There is also a small water area for children to play."
Alex Muzhar;2 years ago;The park iya so so huge, you get tired before reaching half the park, so many things to see and do, the most bang for the buck you'll get around
Fahmi Nurrahman;6 months ago;Should try the spinning restaurant near the entrance gate!
Sgn;11 months ago;If you only have a full day to explore Batu, don't bother with jatim park 1 or 3. Go here, you will not regret it. So many interesting exhibits and attractions catering for adults and children alike. Many exotic animals you will not find in …
Samuel Christian Putra;2 years ago;Great place to play with family. Huge variety of animals. Best experience, visit on weekday
Ira Awalanti;5 years ago;Jatim park 2 our family favorit so far...pohon inn hotel so close to Secret Zoo, Museum Satwa, and Eco Green Park.
Pratitis Ratnasari;6 years ago;the place full of knowledge. we can learn more about animals. Good education for us
Mohamad abdul hady;2 years ago;If you want to introduce animals to your children, this place can be the perfect option..👍 …
Iwan Iskandar;a year ago;"A place where the whole family can spend the day together, learn new things about nature and wildlife, play games, go on rides and even dine.
The animals in Batu Secret Zoo are well taken care of, and we can learn a lot of …"
Raditya Iswandana;5 years ago;"Very good Place!
Batu Secret Zoo is a tourist place and modern zoo located in Batu City, East Java. Batu Secret Zoo located on 14 hectares of land is part of Jatim Park 2, in …"
Tya Vega;6 years ago;Complete playground and cozy place for family...Recommended place for kids to educate them with any kind of animals
Mardi Wu;5 years ago;Many unique animals i never saw in other zoos. One of the best zoos  i never visited
Rudy Honggowasito Tuntang;a year ago;nice weather nice place for family holiday
Ahadini Karimah;6 years ago;Very large area, should come here earlier in the morning so you can stroll around all the theme parks.
Erwin Ruly Setiawan;5 years ago;The best Zoo with fun recreational theme park. It is combining three different area: Batu Secret Zoo + Museum Satwa + Eco Green Park. It is located in Kota Batu, not too far from Jatim Park 3.
wari putri;5 years ago;Very Iconic place 🥰. It suitable for bring your familiy and child here , then we can learn to know more about animal and maybe the facts that you've never know before. Ehmm .. it is maybe a zoo, but for sure I found many beautiful photo …
Hendra . K Lelisa;4 years ago;Modern zoo mix with playground... perfect to.bring our family here...Also hotel available in this place...
Karin A;6 years ago;A secret zoo in the mountains. The concept is really great and it is really unique. I personally liked the baby zoo because we can interact with the animals and feed them. Some of the goats can also run freely but they're really safe to …
Sunik Sunik;6 years ago;"#LetsGuide
Lets's learn about the zoo...don't forget to swim too...playing in free...yeyyy"
Annisa Ilmianti;6 years ago;Batu Secret Zoo is a must visit Zoo when you in Malang. Have a great experience with the cute and wild animals!
budi handoko;2 years ago;The best place for vacation with family and affordable budget...
Sari Rahmawati;a year ago;Really nice place for family recreation ❤️
israr fathoni;5 years ago;great place to leasure, have to bring children here and they sure will love it
Ria N;5 years ago;It's a good place to visit, for those who love animal, there is so much cute animals here, and the price is average, but it's worth it with what we'll get. Easy to find foodcourt too. Try the animal museum, and you'll be amazed :)
Steve Wijaya;5 months ago;Best place fir famillies or vacations or maybe field trips! You can ride e-bikes and est.
miftahul ashar;2 months ago;Amazing
Emmanuel Michael Massay;3 years ago;JATIM PARK (Jawa Timur Park 1,2,3) are Theme parks with educational activities centered around natural history & biology, including a zoo. Located in a beautiful area of Batu within Malang city. …
Barlin Fu'ad Noor;4 years ago;"Good place to educate our children....idr 120k for Batu Secret Zoo and Musium Satwa....for us..1 day is not enough to complete all until 18.00....having pohon inn is another anvantage of this destination...
Eco green park is another destination in this jatim park 2"
Rya Rosantika;7 years ago;"Learn many thing about animal is so much fun.
Good for family holiday!"
Natalie ayu Bali;7 months ago;I went to the secret zoo 4 times . Never get bored.  For me it is the best zoo I have ever  known.  So many things to learn and so many kinds of animals ... I looooove the aquarium.
Dhimas Pramono;5 years ago;The best place for children and student whose looking for education, refreshing, and family gathering.
Bilqis Inayatillah;3 years ago;Good place for hollyday with family or friends, better come in a weekday because there're not too crowded
Andreas Cahya;a year ago;"One of the best Zoo in Indonesia.

Your children will have a great experience with animal here. …"
Rusman H L;a year ago;"One of the best place i have ever visited.
The zoo was so incredibly rich with various type of unique animals. The best part we have chance to go for safari using their free van, feed and interact w live animals while the van moving slowly. Kids love this place the most"
Aprillia Tanto;5 years ago;Very nice and interesting place in East Java!! Recommended place for tourists
Alexander Ariandi;4 years ago;Today we buy package which is batu secret zoo, museum satwa (still the best since I've came in 2015) and sweet memory selfie. All is good...
HTMSD Freecss;4 years ago;A lot of photo spots here and there, and lot of animals to see, this place is a must visit in Malang.
Arvin Wong;6 years ago;First time being here.. it's so fun.. go with your family at this place. Dont go alone..LoL
Mochamad Nazmy;5 years ago;Awesome place to visit. There are animal museum, secret zoo and eco park. It will take  full day to enjoy all of them.
Frisma Aulia;5 years ago;Good for children, you can feed them in certain time.
Ati Sumiati;a year ago;Amazing place with lotsa nice diorama
nonie nandya;8 months ago;Go early and left later. Seriously, the place is huuuugeee. I don't use electric bike so my foot is jelly. Really, get massage after you finished the tour! …
shady shack;5 years ago;Accessible to handicapped people, and amazing zoo with a lot of animals
Mahda Dyasna Arhidya;2 months ago;sangat recommended..
Arief Ugi;4 years ago;U can meet animals more closer than ragunan zoo
AFR;4 years ago;It's great. They have lots of animals and play grounds
Richard Pramudya;5 years ago;Super cool place! Indo needs more investments like this!! Highly recommended. One of the most complete list of animals in a zoo I've ever visited.
Vechan;4 years ago;Great zoo, very entertaining. Beware long walk, not suitable for elder and children must have good stamina or bring baby stroller.
Nova Nur Akmalia;a year ago;Recommended place for family with children
Amru Alhasany;3 years ago;running health protocols, many hand washing facilities are provided
Hendro Wibowo;6 years ago;No doubt for the place, suitable for kids. Only they should not charge full price for kids under 3 years old, because many games they can not play inside
devi indrayani;2 years ago;Amazing place to explore your knowledge about animals. Go come visit ❤
Lidya Charolina;7 years ago;Secret Zoo :3 Well treated zoo, clean, and many educational spot for kids. Great place to bring your child and your grandma.
Intan Ayu Kinasih;6 years ago;a great place. highly recommended for a family holiday. different, unique, and very good zoo. you must here to judge for yourself.
Enny Barlian;4 years ago;Amazing place. Good facilities. Clean area. Helpful officers.
Hasnan Hanif;9 months ago;Healing place for big family many education tourism. It's very recommended when you visit Batu Malang. The price enter Rp. 170rb. Visit it and having fun with your family
Kurnia Fajar;5 years ago;"Great place for learn anything arround us and know about any kind of animals arround the world..
Will go there next time with my child.."
anshori saga;5 years ago;Great place.. good for family vacation.. sadly there a lot of people who smoke outside the smoking area
Tofan Purri;7 years ago;This place is good for young unisex,kids,etc because this place have a lot of education
Tinie Deep;6 years ago;This place is awesome,  must visit this place when u are in Malang/Kota Batu
Ricky Rinaldo;3 years ago;A very good place. They arrange everything perfectly so you wont miss anything. And the enclosure was close enough with the real habitat.
Ricko Arisona;2 years ago;Good place to visit with family. Prepare your raincoat/umbrella in case its rain or for your uv protection for sunlight
08_A.A Sagung Ratu Ari Widiasti;a year ago;Batu secret zoo by jatim park 2. The place is so spacious, comfortable and also clean. This zoo has various types of animals from various habitats such as Asia and Africa. Lion, giraffe, black leopard, black swan, capybara, bear and many …
Irfansyah Mulyadi;a year ago;its very worthed, Fun,Educatable
Rangga Putra Beta Dewa;5 years ago;Very good place, clean and all that good vibes. This place has many to offer, perfect place for a family visit on weekends, be sure to have more than 4 hours to spend.
Ganjar Wicaksono;a year ago;Value for money. Price for food and drink reasonable for a theme park.Make sure you prepare your foot because the area is very big. try to buy your ticket online so you can skip the queue.
Nilam Mandayasari;10 months ago;It's a quite big zoo, we can bring our children to give lessons about animal, nature, etc.. The air so refreshing also.. recommended
Sena's Life;4 years ago;This place really good for kids and Family. We can learn many animals in here.
Junea Fellayati Puttu Sabila;a year ago;You better buy tickets in Traveloka 👍🏿 …
Ilham Abe;6 years ago;A lot of attraction here related with animal. There are zoo, museum, water park, hotel, factory outlet and many others. Worth it and recommended.
Chris Vickery;4 years ago;Very nice zoo with a lot of different types of animals.  Exhibits are nice and the park is very well layed out.
CE Project;3 years ago;Great innovation park with many educational facilities, museum, playground, etc. Really recommended.
dwi arif wahyuni;2 years ago;Children really have fun in this zoo, all we need to know about animals and have fun at children's park are here the same time
Lahiq Murtadla;2 years ago;Jatim Park 2 especially Batu Secret Zoo is the best animal zoo in Indonesia. Cmon come over yuhuu
Ernie Syarifah Dewi Simatupang;6 years ago;nice place, many things we can do there like giving eating animals.
Iqbal Santyaswardan;5 years ago;Great collection.  The e-bike is pricey but will consider it next time.
Laura Widiastuti;a year ago;Free rides lots of unique animals, lots of activities, fun water park for kids included. Better prepare to come from early morning (and bring your swimsuits/change kiddos) to enjoy it to the fullest.
w7 wedus official;5 years ago;Much better jatim park 2 than 1 because much better.🇮🇩😍 …
Klemen Soeargo;3 years ago;Very nice, informative, and surprisingly safe environment.
esha reza;5 years ago;Great zoo and great place to spend a full day with your children
Meyda Bestari;5 years ago;I like this park way better than the other one. I love to go to the zoo with my partner. If I go back to Batu, I will definitely come back.
Nothing nothing;a year ago;super crowded, the place some of them has empty cages. but mostly filled. The place was overloaded and it can be uncomfortable. Some of the section or parts of the section etiher empty and/or broken. the place is abit understaffed and seems …
diah mariyanti;a year ago;Affordable tourist destination, really nice to be visited with family and relatives
mas wadi;4 years ago;Good place for family holiday especially for the children supported by cool weather
Fajar Pangestu;4 years ago;Recommended! Especially when you bring children here
Rini Hindayani;6 years ago;A great place to have fun and learn many things.
Diaz & Day 's Santi;5 years ago;"Very complete collections .. i saw animals that i never see before even on TV .
I have guests from Holland who went there with their 3yo son , and they said its even better than what they have in Holland ."
michael ricardo;2 years ago;One stop enterrainment and education also modern zoo in one place..
Suryanto Wijaya;5 years ago;The best in jatim Park 2 is the zoo only otherwise is so so, the attraction mostly is just for child under 10th
Hamzah Kurdi;a year ago;Barely wheelchair accessible. How can the aquatic area be wheelchair accessible if all the ramps are slippery and wet. It promotes accidents not just regarding the disabled, but all the visitors of the zoo. Invest in elevators.
cahaya kemuliaan;2 years ago;The zoo was fantastic..the animal museum was awesome
Irhamna Fithriya;4 years ago;comfortable and huge! Keep up the good work
Habib al;2 years ago;Still one of the best tourist attractions in Batu, for me, alongside Museum Angkut. Educational, fun, and exciting. The route is really far, though, so prepare your physique, especially if you bring kids with you. The rides and games are …
hikari maulida;5 years ago;The most great and beautiful zoo i've ever been
Ikra Damayana;4 years ago;Another great amusement park at Batu city, Eastern Java
Andrew Imanuel;a year ago;Eco green park is the best place to go in Batu. You can take picture with many owls and eagles. It is very cool. You can also see giant chickens around there. …
Zahara Ika;6 years ago;You can find many peculiar animals in the batu zoo inside Jatim park 2
Fandy Yesterday;5 years ago;Wonderful place to vacation. Very good to bring family here.
Tony Purnomo;4 years ago;Jatim park 2 nice place to visit so many animal
Daniel Agustinus;7 months ago;Good animal zoo in Batu Area. There are plenty of unique animals that cannot be found in other zoos
Aries SF;2 years ago;This place is well and great place for family to spend time and learning with whole family
Andi Polles;a year ago;Having good time with kids seeing tropical animal or zoo basically. They have e bike service for 150000 idr for 3 hours if you're tired. There's a rare albino tiger. You can even feed grizzly  bear too
Mawanda Almuhayar;2 years ago;"Best zoo I've visited in so far, well maintained, friendly zookeper, vary animals, and also there is a place to play a rides too.
My favorite thing is to play and take a picture with baby Tiger, but it didn't …"
Laboma;6 years ago;Located in the highlands of the city of batu, this object is very popular in malang. I think world-class subjects
Sovia Dumiyanti;5 years ago;Fantastic ! The ticket fee is affordable, the zoo has a wide range of animals, all in healthy condition , there are rides and attractions such as mini safari and sea lion circus which is worth watching. The animal museum (which is located …
Nur Wahyuni;5 years ago;A great park with the secret zoo. Not only a zoo, but there’s a fun park to ride some rides
lewat email;5 years ago;This is when you and your family need place to escape from your xoxo days
Jahya “Otaku” Tan;3 years ago;This is an awesome animal museum, definitely a must visit attraction.
Yudha Satya;5 years ago;Edutainment at it best in East java.really enjoy to visit this place
Mutiah;6 years ago;Many attractions and destinations there, so excited to bring the families!
ovidiu-sorin sirbu;a year ago;Verry nice and educational!
Adit Maajid;5 years ago;I like this place.....  Because I and other people can learn about animal
Elisabet Juliwati;6 years ago;Very good place for family traveling.... Good time
Haries Abun;a year ago;modern zoo with a great thematic view
Hansel Angdjaja;2 years ago;Took the kids and they loved it, the infrastructure are great and clean, animals looked healthy, foods and drinks are affordable, the displays and facilities are well kept. …
Arya Gunaksa;10 months ago;Batu Secret Zoo the best
Prigianto S;4 years ago;Nice place. A must to visit place, not just for kid but also for parents. Even old man
Ifan Ramadhan Zaki;7 years ago;The secret zoo has many creatures! It's fantastic
Andy Kho;5 years ago;Secret Zoo & Eco Green Park are the best attractions among the whole Jatim Park.
Rida Bangsawan;4 years ago;Nice place fod kids and family to see animals
Riqqi Rahmaddian;a year ago;a great place to travel.
suspranggono esang;a year ago;I swear i love this place! They place animals very nice. We just like travelling around the world to see animals in one place. The animals collection so many. It's very good for family holiday. Not only see animals but also we can enjoy another entertainment. Very recomended! In sya Allah  I wanna back again!
はるかちゃん;a year ago;In 2013..During my elementary school holiday plan. I was go to here with my elementary school teacher's and my classmate, It was brought up so many nostalgic feeling..eventually when remember how nice to see the boy that I was love back …
Wiwin;5 years ago;Jatim park 2 and Eco green, The fun place for vacation to kids or adult, one of big zoo in Indonesia with many animal, good for  education
asfa al Makmun;2 years ago;Amazing place, recommended for you
Galih Kumara;4 years ago;Huge place to vacation, education and family gathering
B Harsanto;a year ago;have fun and learn about animals
hana diana;11 months ago;another healing and stress release
Imelda Nita Saputri;4 years ago;"My happy place!!
A very nice destination to spend holiday for toddler to elders, alone or with groups. …"
Mochammad Akbar;5 years ago;I love this place so much because I felt really entertained and happy. This amusement park is really huge and I can guarantee you'll get tired if you don't stop walking till the exit spot. I love the theme (Jatim Park 2 is all about …
Theresia Adelia Setiawan;4 years ago;Great place to explore with your familiy and friends 😁 …
Rama [Rambo];4 years ago;another amazing collections of animals, landscapes. the themes are so many. and there's so many knowledges & histories.
anung nugrahadi;5 years ago;Too crowd on holiday. Better go there on weekday.
Erich;2 years ago;Batu Secret Zoo is a fun place to vacation. The animals are complete and well-maintained, the location is clean, the toilets are clean, and the price is affordable. …
zenny rahma;10 months ago;It’s a good place to enjoy the time with family, friends or kids. Provided some attractions.
Bradley Ginta;a year ago;There are many animals there but some displays has no animals the animal feed and photo fee are pretty cheap unlike other zoos so this is very recommended.
William Surya Njoto;4 years ago;Lots of rides and games for kids. Entrance fee is affordable. Located near well established hotel in Batu such as Golden Tulip. However the food offered in the cafetaria is limited in choice and taste very average. Overall a great theme park for family outings.
Kayla Myiesha;5 years ago;An educative park with great cleanliness.  But staff needs to be trained to be more helpful and friendly. Moreover, as it was the holiday season and visitors, including me, have been lining up for an hour before it was opened, it was …
Cahyo Nugroho;6 years ago;Great Zoo and Animal Museum! You should bring your children here!
Eva Hajriani;6 years ago;A good place to stop by, family and children friendly
Muhammad Diandra;4 years ago;Good experience there too see all the animals.
William Yonathan;6 years ago;Best place to visit with family. Lot of cute animals and the the ticket prices is not expensive.
Ken Wimba;6 years ago;Woohoo!! So many attractive things to see
Yuda Pamungkas;5 years ago;Jatim park 2 is best for family recreation, and the price is consider cheap for what we get
Irvan Sanjaya;4 years ago;A must visit place in Batu. They have a lot of animals never seen in Safari
dragon avanged;a year ago;lot of joy over here, the animal is so fluffy and healthy
Syifa Nasali;3 years ago;I've been here for 2 times, and it's totally worth it!!! You better go inside at 10 AM. There's food court inside (haven't try) you can also rent a E-Bike 150k/hour. And also there's fun rides at the back! There's roller coaster, tsunami ride, tracktor ride, and other fun ride! And the animals are alot! You gotta go there!!!
Sani Aksan;5 years ago;The New Thematic of Zoo, you can be very close to animals and You will not miss one animal that you see
Gerry Gry;6 years ago;Zoo & museum was very nice, animals are nicely treated.
sylvia meirina;5 years ago;Great place for education, safe brings children
S Halikah;4 years ago;This place is awesome. Zoo, museum, and amusement park all in one place. We were visiting this place during year end peak season time. The zoo was still averagely clean and neat. The kids could always see and observe the animals inside each …
Jon SP;a year ago;Good zoo
Yoky Irawan;5 years ago;Amazing view, clean room and facility are good
Ven Ven;4 years ago;The zoo and the wildlife museum are both good. A must to visit
MJ Said;6 years ago;One of the best amusement and educational adventure parks for kids. Bring your children here. The zoo is well managed. The animals look very healthy and well kept. The air is so fresh and pollution free, not so cold too. A great place for family holiday.
Andrew Ko;a year ago;Very nice place to spend with family, especially when you have kids. The concept looks similiar with garden by the bay, Singapore. Fun !
Nov Nov;5 years ago;Nice place and saw a lot of animals around d world
Kenari Homeschooling Fitrah Based Education;6 years ago;Awesome place. It's worth to visit. Education and entertainment just in one place. Ticket's price is reasonable. We will enjoy animal museum, amazing zoo with various kinds of animal and adventure land with playable pool for children. They also serve praying room for moslem. Can't wait to repeat visit.
Faishol Hakim;5 years ago;Good places for family refreshing during weekend, educational for children and many kind of animal musium satwa
rifaghn;2 years ago;Recommended place for a vacation with family, especially children. Full of education, a comfortable, clean and cool atmosphere is the main attraction. One of the best tourist destinations in east java
Zuhrotun nurrita;4 years ago;It's very fun and educational, in This park consists of the Batu Secret Zoo, Wildlife Museum, Eco Green Park (bird park), and Secret Memories Selfie (a place to take pictures).  The place is also open so prepare your umbrella if it's the rainy season. and everything is amazing!
Steven Tantra;5 years ago;Nice improvement it got, not much then I used to go years earlier.. But the old stuff is also well maintained. A nice amusement park one of the best you can get in Indonesia. Although I can't say it can compete with the international theme parks around.
Ty Levinawati;2 years ago;"Great place to go when you visit the City of Batu, Malang. They have 4 different parks. This one has a Zoo in it and also a Museum. Baby-stroller friendly too.
For the ticket, they offered Reguler and Premium. That depends on how many Parks you want to go. The Premium cost around idr 150k/person."
Catherine Natawibawa;6 years ago;They have cute animals♡ love this placee
Milena;5 years ago;Amazing place to whole family, including disable one's.  My mum borrow an  wheel chair there,  and we had no problem.  After the zoo part,  she also could drive an electric car,  not exclusive for  disable people,  as long as you pay to …
Jul;5 years ago;Cool place with many variety of theme park, amusement park and educational park. One day will not be sufficient to explore through the whole area. Many kind of rides and displays. I would say this is a must visit place for the exploring …
Luthfy Mubaarok;a year ago;"What an experience!

There's a lot of education in this amusement park. Endangered species are explained well with their risk of extinction. Perfect place to spend with family."
Hendriyanto Wibowo;2 years ago;Nice place, clean and verious animal from around the world
Hendra W;5 years ago;Good place to see zoo and animal museum
Chairina Oktiva;2 years ago;Best place to strengthen your.... feet 😄😄😄 …
Wayan Lindu;4 years ago;Must see place when visit Batu/Malang.
Naufal Nafis;5 years ago;At high season, the entrance ticket is 120k/people (Batu Secret Zoo-Museum Satwa)
M. Ali Hanafiah;5 years ago;Very convenient zoo. Unbelievable design. Well maintained, clean and kids friendly.
Ammar Hilmy (AHS PRODUCTIONS);6 years ago;Amzing place with a lot of animal, playing place, and wonderful museum
chrome 77;a year ago;Good place for kids. The place is big and the animals variety is good. Quite entertaint even for adults.
Karen;5 years ago;Amazing zoo with very different selection of animals on display. Animals are all well taken care of. Must take the safari tram ride and boat tour. Would totally come again. 20% off for foreigners using passport. Indonesians buy your ticket from traveloka is cheaper. Food and drinks are available at many locations. Very good attraction.
farry prayubi;6 years ago;One of the best of the best destinations in the east java in my opinion. They have a world class zoo. The design is smart that makes the visitors can enjoy and explore all parts of the place without getting bother. The air gives more value and we will find a lot of surprises that couldn't be predicted before there. Really love it.
Jessica Kasnadi;5 years ago;This is a very pleasant place. Well visited with your beloved family. The best place for a vacation. We can get to know animals from all over the world. The quality is not inferior to zoos that exist abroad. The concept is very interesting. We’ve visited this place several times and have not felt bored at all.
Paul Us;6 years ago;This is zoo... You can spent 3+hours here
Irfan nFauzan;6 years ago;This one is a 5 stars quality zoo. They manage to create a great display of animals. Not some cheap cage with lonely animal in it. But a huge glass display. Which is nice because the animals have some room to play with. Well some display are bar cage but if it's the case, they make sure the cage is really big. Like 6 to 7 meter.
Wawan Rahardianto;6 years ago;"1. Batu Secret Zoo (*****):
(+) Various animals around the world, well maintain animals and property, themepark with children playgrounds are well maintain. …"
ram pta;5 years ago;Affordable price for an educating trip and very well mantained facilities. Did not regret coming here just to look at animals in cages. There's neat sections for many types of animals inside and scheduled shows. Fascinating trip from start to finish.
Arimas Prayogi;a year ago;Nice place to learn animals
Dinosaur Isle;5 years ago;"I really enjoy this zoo. This is the best zoo I ever go.
My kids really love it as well. You get more than you pay. Various animals, and most of them maybe you never see or hear about. …"
Rudolf Valentino;5 years ago;Awesome recreation areas for children and family
RockNRoLLa;4 years ago;Top place for holiday with big family
Citra Whn;5 years ago;Wonderful place to play and also give education about animal world to your kids. It has hundreds of animals, playgrounds with lots of games, and not to forget the swimming pool. You can also feed some animals at their habitats while take a selfie. 😁 Absolutely 100% fun! 👍👍 …
Ida Ayu Putu Trisnawati;6 years ago;It is a cool place to hangout for the whole day. Learning about animals and so on. You can see Sea Lion performances at 12, 2, and 4 everyday for free. The toilet is a bit dirty and smelly. Prepare your own tissue and wear comfortable clothes and shoes.
Citra Pandiangan;4 years ago;I am so happy spend half day here with good zoo and also playground.. we get fun and love in this place. Many animal we find it start with iguana, fish area, elephants and also the wild animals such as tiger. …
Syandy Ramadhan;6 years ago;Both the Batu Secret Zoo and Animal museum are awesome and educational. The animals are fun and looking good, seems that the zookeepers are doing a great job taking care of them. Modern design of the building, walking path, clean restroom. …
Kris Cahyogi;5 years ago;A great place to spend vacation time with family,   especially if you have a child
Digno Christopher;5 years ago;A great fusion of theme park and an international-standart zoo. This place offers a new, exquisite way to see exotic animals and please yourself with many attraction and rides. This place also guarantees your satisfaction with good service …
Yamin Wiharja;5 years ago;A must visit place in Indonesia. The biggest, the cleanest, the most satisfying zoo in Indonesia and all over Asia. Very cheap and have a very great experience in here. Especially for children. You must plan to visit here. There a lot of great places in Batu. Wonderful !!!
Paulynn Lee;4 years ago;Started off at the museum. Stuffed animals with detailed information displayed. Take pictures with 3d art. Very well maintained zoo, lots of variety of animals to see. There is also a water theme park here. …
Sulaeman Santoso;4 years ago;Best zoo in indonesia. Large area filled with exotic animal. Clean and tidy. There are a lot of feeding time to look out for . U can take pictures with some animal. Its big. Plan alteast about  4-6 hour of visit
Susana Sung;6 years ago;Very nice place!! Museum Satwa is such a creative & great animals museum. The display is very nice. It's a touch of art & thought. The background and lighting on each is also another great work. The ambience is just perfect. It's by far the …
Rama Renspandy;8 years ago;After years operating, it still maintain its status as the best zoo in Indonesia. Offers unique experience and complete entertainment for kids. Might be a bit tiring if you go by walk, so prepare your bottled water.
Arief B K Carli;5 years ago;Love animals? You must go to this place
Cecilia Lukardi;5 years ago;"One of the best zoo in Java Island! It was very crowded but the visitor flow management is very good so nobody ""lost"" in the zoo even without the map (which tend to happen in most zoo). Toilets are available in several areas near food court and are clean. This zoo is worth visiting!"
Nicholas Sihotang (nichpakaich);4 years ago;Had great time with my kid. Lots of life animals, and even skeletons, with educational contents and even playground. Perfect for a day trip on school holiday. With many spots for stopping and getting something for your tummy.
Farhan Hafizh;6 years ago;The park is so big, You'll need to take a rest every 30 minutes. The parking lot is big, you won't be frustrated looking for a place to park your car. …
Tiara Cahyadi;4 weeks ago;Great experience
